model,hyperparameters,aggregate,average_rmse
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['min'],0.4336669436649768
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['max'],0.3494587049401428
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.3886664810128544
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.5947735586837414
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}",['mean'],0.13224811119319813
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['enlarged'],0.3284636794407789
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.1874249530845637
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","['max', 'min']",1.4719586055577942
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],0.5329330295413798
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.5250788701708172
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}",['enlarged'],0.19855337990522534
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['max'],0.6572210979077809
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}","['mean', 'std']",0.06532409668533455
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.0718066547990546
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['min'],0.1321419318047896
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.48527686750600846
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['enlarged'],0.0
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.3376498341276493
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}","['mean', 'min']",0.09097129443058631
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['enlarged'],0.34173561190096374
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['enlarged'],0.2610335591339911
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.4260904582319339
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","['max', 'min']",0.2964366657090134
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['max'],1.1189863437324965
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['mean'],0.40009360721257525
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['max'],0.45557315726839887
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}","['max', 'min']",0.09412047824966052
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto'}",['max'],0.2066832002311104
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['std'],0.06299082577284136
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}","['mean', 'std', 'max', 'min']",0.5479300685752309
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.5}",['mean'],0.05647228524794249
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.3115739459860064
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['mean'],0.0485284870078521
XGBRegressor,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.5}",['max'],0.12000166617666821
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",['enlarged'],0.030059527396178332
XGBRegressor,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['std'],0.4963767290717356
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['mean'],0.14616496028513545
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.031458025311016845
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['enlarged'],0.078396090880384
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.5}",['std'],1.2961005339000118
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.06315536127926062
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}","['max', 'min']",0.0
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['max'],0.09566229850530512
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}","['max', 'min']",0.39498692285457726
XGBRegressor,"{'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'subsample': 0.5}",['max'],0.3443332951148257
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.3953723037485032
RandomForestRegressor,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto'}",['min'],0.14457146156390294
RandomForestRegressor,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto'}",['enlarged'],0.9870473012425329
XGBRegressor,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1, 'subsample': 0.8}",['min'],0.34781832100227017
